serial,description,meter,historical_matches
5-QUAD TRACK TRACKS,5-QUAD TRACK TRACKS,N/A,1
50-1577,TELEHANDLER,1249.0,1
501,CP 56 CAT ROLLER,2863,1
505526,CAT 305 MINI,973,1
52 11298,CAT 326,8416,1
52 15105,CAT 316,4403,1
52-1011,CAT 318,2480,1
52-10217,2012 CATERPILLAR 316EL,7958.6,42
52-10412,2013 CATERPILLAR 324EL,8891.0,27
52-10574,2014 CATERPILLAR 316EL,77.8,9
52-11052,2015 CATERPILLAR 352F VG,9395.2,11
52-11225,2016 CATERPILLAR 316FL,3723.9,53
52-11227,2016 CATERPILLAR 326F CGC,8189.9,35
52-1127,CAT 326 EX,4931.0,1
52-11298,2016 CATERPILLAR 326F,8406.9,18
52-11341,2016 CATERPILLAR 352F VG,7789.0,22
52-11496,CAT 326 EXCAVATOR,10366.3,4
52-11501,2017 CATERPILLAR 326F,8833.0,14
52-11518,2017 CATERPILLAR 326F,5488,74
52-11633,CAT 349 BH,4167,4
52-11773,CAT 326 BH,3880.2,3
52-11781,2018 CATERPILLAR 326F CGC,4918.9,35
52-11787,2018 CATERPILLAR 352F,8881.1,16
52-11792,2018 VOLVO EC480EL,5894.0,16
52-11825,2018 CATERPILLAR 349F,4806.0,20
52-11827,2018 CATERPILLAR 349F,870.8,1
52-11829,CAT 352 EXCAVATOR,8171.9,2
52-11832,CAT 352 EXC,8774.5,5
52-11869,CAT 374 BH,3592,3
52-12152,2019 CATERPILLAR 352F,6171.2,12
52-12154,2019 CATERPILLAR 326F CGC,5279.4,23
52-121541,CAT D5 DOZER,1920.0,1
52-12157,2019 CATERPILLAR 326F CGC,7153,9
52-12227,2019 CATERPILLAR 308E2,98.0,45
52-1227,CAT 308 MINI BH,849,1
52-12509,CAT 336 EX,7125.5,10
52-12646,CATERPILLAR 374,1439.7,2
52-12700,CAT 326 BH,749,4
52-12707,2016 CATERPILLAR 326F CGC,3394.0,27
52-1271,CAT 308 MINI BH,1755,1
52-12711,2020 CATERPILLAR 308,1900.7,46
52-12737,2020 CATERPILLAR 336 3D,6435.3,37
52-12876,2019 CATERPILLAR 305,808.6,2
52-13035,CAT 349,955,1
52-13130,2021 CATERPILLAR 316F CGC,1235.2,45
52-132,VOLVO A45 DUMP TRUCK,1567.0,1
52-13265,2021 KOMATSU PC490LC-11,713.0,4
52-13286,2020 JOHN DEERE 350 LC,1100.7,1
52-13306,CAT 349 BH,2005.7,1
52-13308,CAT 374 BH,2168.0,1
52-13319,JOHN DEERE 85 MINI BH,140.0,1
52-13344,2018 CATERPILLAR 336FL LR/LONG-REACH,8016.9,9
52-13408,2021 CATERPILLAR 352 3D,6392.7,13
52-13415,2018 HITACHI ZX50,444.4,1
52-13431,JOHN DEERE 350 EX,N/A,2
52-13503,CATERPILLAR 307.5,203.3,12
52-13597,2022 CATERPILLAR 374,4494,8
52-13611,2022 CATERPILLAR 336 3D INDY UG,4991.4,12
52-13614,2022 CATERPILLAR 326 3D,748,27
52-13618,2022 CATERPILLAR 326 3D,1388.1,10
52-13646,CATERPILLAR 323F,993.9,2
52-13647,2019 JOHN DEERE 470G,1200.0,1
52-13676,2021 CATERPILLAR 305E2,480.1,2
52-13707,CAT 316 BH,1381.0,1
52-13724,2022 JOHN DEERE 50G,145.4,16
52-13825,2019 CATERPILLAR 316FL,1568.0,6
52-13837,2022 CATERPILLAR 352-07 2D,3001,15
52-13895,2020 VOLVO ECR145E,1181.5,17
52-13907,CATERPILLAR 305E2,1322.1,1
52-13920,2022 CATERPILLAR 305-07,2907.1,19
52-13924,2022 CATERPILLAR 305-07,220.9,36
52-13974,2022 JOHN DEERE 35G,1559.1,18
52-13989,2022 JOHN DEERE 75G,21.5,6
52-14062,2022 JOHN DEERE 345G,1502.9,12
52-14096,2016 CATERPILLAR 336F,3142.8,1
52-14126,CATERPILLAR 352F,3632.0,1
52-14130,2022 JOHN DEERE 350 PA,332.1,1
52-14171,2019 JOHN DEERE 350G LC,956.9,1
52-14222,2021 CATERPILLAR 336,2132.5,3
52-14242,2023 VOLVO EC550EL,1830.3,6
52-14317,2023 CAATERPILLAR 374 2D,1632,3
52-14336,2022 CATERPILLAR 374 2D,3022.1,5
52-14490,2013 CATERPILLAR 725 WW,11437,1
52-14503,2023/Caterpillar/308,2515.2,1
52-14516,2023 CATERPILLAR 317 3D,2381,38
52-14721,2023 JOHN DEERE 250P,298.2,6
52-14728,2019 CATERPILLAR 336,3861.8,2
52-14742,2023 JOHN DEERE 470P,451.6,2
52-14747,2023 KOMATSU PC490LC-11,295.6,1
52-14777,2022 JOHN DEERE 470G,1268.1,1
52-14779,JOHN DEERE 160 EX,367.8,1
52-14792,JOHN DEERE 470 NO BKT,N/A,1
52-14840,2023 JOHN DEERE 245P,70.0,2
52-14854,2022 JOHN DEERE 190GW,150,1
52-14918,2023 JOHN DEERE 300P,476.4,1
52-14920,2024 CATERPILLAR 326 3D,1808.7,3
52-14925,2024 CATERPILLAR 326 3D,1161.5,17
52-14981,2023 JOHN DEERE 300P,367.3,1
52-15009,2015 CATERPILLAR 349 FL,11945.0,1
52-15011,2018 CATERPILLAR M318F RUBBER TIRE,2313.0,1
52-15026,2024 CATERPILLAR 308,60.8,36
52-15105,CAT 316 EXCAVATOR,4306,4
52-15106,2018 CATERPILLAR 316FL,3895,2
52-15144,2024 KOMATSU PC490LC-11,622.2,1
52-15149,2019 CATERPILLAR 349FL,5770.8,2
52-15151,2018 CATERPILLAR 349FL,6283.0,10
52-15153,2019 CATERPILLAR 336 2D,6745.6,14
52-15170,CATERPILLAR 336,941.9,1
52-1518,CAT 326 BH,3537.0,1
52-15187,2024 CATERPILLAR 325-07 CR 3D,16.2,4
52-15565,CATERPILLAR 335-07 CR 3D,3196.0,1
52-15567,2021 CATERPILLAR 336 3D,3973.5,9
52-15587,CATERPILLAR 326,17.4,1
52-15591,CAT 326 EXCAVATOR,864.7,2
52-15733,JOHN DEERE 350P,431,7
52-15738,2025 CATERPILLAR 352,868.6,11
52-15739,2025 CATERPILLAR 352 VG,1177,7
52-15748,2025 JOHN DEERE 470P,350.0,4
52-15757,2023 CATERPILLAR 352,891.1,2
52-15758,2025 CATERPILLAR 352,305.4,4
52-15791,2022 CATERPILLAR 340 2D,3914.3,10
52-15799,2023 JOHN DEERE 245P,957.0,2
52-15924,2024 KOMATSU PC36LC-11,808.1,3
52-15945,2025 KOMATSU HB365LC-3,229.2,8
52-15985,2023 CATERPILLAR 317-07 3D,2316.8,10
52-15987,2025 JOHN DEERE 245P,63.4,1
52-16013,2022 JOHN DEERE 350G LC,1793.8,1
52-16046,2025 CATERPILLAR 317,1402.2,1
52-16073,2025 JOHN DEERE 245P,297.7,3
52-16074,CATERPILLAR 336,729.6,1
52-16153,KOMATSU PC 138USLC-11,6.5,1
52-16169,CATERPILLAR 307.5,1432.4,1
52-16234,2022 JOHN DEERE 135G,1696.9,1
52-9620,324 CAT BH,3055,1
52-9938,2012 CATERPILLAR 324E,9280.4,10
528-2166GYD02362,349 TB LINKAGE BUCKET,N/A,1
528-2166MHJ85479,349 TB LINKAGE GD XL BUCKET,N/A,1
528-4602,CATERPILLAR 336F DB LINKAGE,N/A,1
54-14096,2016 CATERPILLAR 336F,3205.2,1
55-292,PUMP,N/A,1
550EL00310293,VOLVO 550EL,514.5,1
56469,JOHN DEERE EXCAVATOR,2001,2
57-12737,CAT 336 EX,N/A,1
5704,RENTAL VOLVO L120 LOADER,1377,1
59-14532,2020 VERMEER T555III,1111,2
59-14714,2015 VERMEER RTX550,1936.0,2
5D11SB,ROLLER,531,1
5G505526,RENTAL CAT MINI,978.9,1
5M10565,CATERPILLAR 305 MINI EX,1051.0,2
60-0661,CAT CP56 PAD ROLLER,323.0,1
605-1915,CATERPILLAR 963 BUCKET,N/A,1
6081488,ROLLER,262.4,1
61-10231,PICKUPS,"167,448",4
61-10588,CHEVROLET PICKUP,174077,2
61-10835,PICKUP TRUCK,10836.9,2
61-10836,PICKUP TRUCK,206802,1
61-10842,CHEVY 2500HD,13230,3
61-11168,PICK-UP TRUCK,N/A,3
61-11169,PICK-UP TRUCK,"145,860",1
61-11172,PICKUP TRUCK,139666.0,1
61-11173,CHEVROLET PICKUP,182864,1
61-11174,PICKUP TRUCK,156862,1
61-111743,PICKUP TRUCK,"150,725",1
61-11176,PICKUPS,"255,364",1
61-11177,PICKUP TRUCK,17133.5,1
61-11231,2006 FORD F650 WATER TRK,1246.3,1
61-11474,PICK UP TRUCK,275412,1
61-11476,PICKUP,167377,1
61-11694,UTILITY TRUCK,7997.8,1
61-11695,PICK-UP TRUCK,11668.3,3
61-11697,PICK UP TRUCK,N/A,1
61-11702,RYAN PICK UP TRUCK,83057,2
61-11927,PICKUP,N/A,1
61-11933,PICK-UP TRUCK,156498,1
61-11935,PICKUP TRUCK,183716,3
61-11937,PICKUP TRUCK,17199.1,1
61-12532,2500 TRUCK,138635,1
61-12543,PICKUP TRUCK,188100,1
61-12548,RYAN PICKUP,N/A,1
61-125541,PICK-UP TRUCK,31534,1
61-12945,DOUG'S PICKUP,N/A,1
61-12957,PICKUP TRUCK,6437.1,1
61-12959,2500 PICKUP TRUCK,N/A,2
61-13363,PICK UP TRUCK,N/A,1
61-1390,FORKS,N/A,1
61-3319,ROME PAN,N/A,1
61-5041,ROME PAN,N/A,1
61-9617,SERVICE TRUCK,221222,2
62 12306,MACK WATER TRK,1620,1
62-10180,1984 FORD L8000 GREASE TRK,2371.0,2
62-10223,2013 PETERBILT 337 ARONHALT,N/A,2
62-10227,LUBE TRUCK,4412,1
62-10253,2008 FORD F750 PRICE,9328.2,2
62-10455,1996 INTERNATIONAL AM TRAN BUS,5696.8,1
62-10456,MACK WATER TRUCK,7205.5,4
62-10507,2000 MACK RD 688S WATER TRUCK,N/A,17
62-10911,2016 PETERBILT 337 PIERCE,18207.8,5
62-10927,PETERBUILT LUBE TRUCK,11023.9,1
62-11002,FORD WATER TRUCK,4779.7,7
62-11022,FORD WATER TRUCK,4405.4,1
62-11231,2006 FORD F650 WATER TRK,1109.0,7
62-11808,2001 STERLING M7500,29669.8,11
62-11809,1998 INTERNATIONAL 4900,6436,3
62-11882,FUEL TRUCK,1243,1
62-12191,2008 FORD F750 WATER TRK,2789.0,4
62-12264,2006 FREIGHTLINER MS106/A 4000GAL WATER TRK,N/A,15
62-12265,2012 INTERATIONAL 4300 SBA 2000GAL WTR WATER TRK,243711,12
62-12287,2012 FORD F750 WATER TRK,2087.6,11
62-12306,1983 MACK RD688ST WATER TRK,1567,13
62-12466,LUBE TRUCK,N/A,6
62-12550,PICKUP TRUCK,"33,164.0",1
62-12578,FORD F550 6.7L POWERSTROKE,"161,840(MILES)",1
62-12628,VOLVO A45,739,1
62-12983,2022 KENWORTH T370,98980,2
62-12995,2000 INTERNATIONAL 4900 FUEL (ALUM) FUEL TRK,778.3,5
62-13127,CHEVY SILVERADO 5500HD,123373,1
62-13221,1999 MACK RD692,589,9
62-13222,MACK WATER TRUCK,"19,989.0",1
62-13223,2007 FORD F750,3021.0,11
62-13266,1990 MACK RD 690S,17265.3,11
62-13350,FORD F450 SERVICE TRUCK,123389 MI,2
62-13351,FORD F450,100775,1
62-13352,FORD F450,4:14:15,1
62-13355,1999 CHEVROLET C7500 LUBE GREASE TRK,278.7,4
62-13399,2019 FREIGHTLINER WATER2000,576.2,1
62-13531,2000 INTERNATIONAL 4900 LUBE,845.0,3
62-13777,2007 PETERBILT 335,10347.4,4
62-13840,2009 FORD F650 WATER,50759,5
62-13968,PETERBILT MECHANICS TRUCK,N/A,2
62-14152,2020 FREIGHTLINER WATER 4000,508.0,2
62-14156,2022 FREIGHTLINER WATER 4000,84.8,1
62-14355,2016 FORD F650,18339.3,1
62-14604,2017 FORD F750,2412,1
62-14625,2020 GREIGHTLINER WATER2000,2283,2
62-14626,FREIGHTLINER WATER4000,848,1
62-14672,FORD F450 SERVICE TRUCK,27662 MI,1
62-15289,4000 GAL WATER TRUCK,1236.8,1
62-15323,1999 CHEVROLET C6500,N/A,1
62-15400,2023 FREIGHTLINER WATER 4000,359.7,1
62-15645,2005 CHEVROLET C7500,1.8,1
62-15672,FORD F350 (BLUE),N/A,2
62-15779,2013 KENWORTH T440 LUBE FUEL TRUCK,8847.3,1
62-2472,VOLVO L60 LOADER,29.0,1
62-2562,1988 INTERNATIONAL 1954 GREASE TRK,3936.6,5
62-3601,1996 INTERNATIONAL 4900 GREASE,8714.7,3
62-3617,1992 INTERNATIONAL 4700 GREASE TRK,16638,5
62-422,JOHN DEERE 9570 TRACTOR,1382.0,1
62-4289,1999 INTERNATIONAL 4900 GREASE,138179,8
62-9613,2007 INTERNATIONAL LEEBOY DS2000 WATER,N/A,18
62-9657,2007 INTERNATIONAL LEEBOY DS2000 WATER,N/A,9
62-9778,1999 CHEVROLET C6500 GREASE TRK,24982,10
625332,VOLVO L90 LOADER,72,1
631906,VOLVO LOADER (RENTAL),43,3
64-12086,VOLVO A45 DUMP TRUCK,1217,1
64-12089,VOLVO A45 DUMP TRUCK,N/A,1
64-12090,VOLVO A45 DUMP TRUCK (34-2684),1658,1
64-12091,VOLVO A45,1710,1
64-12092,VOLVO A45 DUMP TRUCK,1995,1
64-12093,VOLVO A45J,N/A,3
64-12094,VOLVO A45 DUMP TRUCK,1546,3
64-12236,2019 CATERPILLAR 745,6973.1,7
64-12237,2019 CATERPILLAR 745,5959,4
64-12308,VOLVO A45 DUMP TRUCK,902.0,2
64-12309,VOLVO A45 DUMP TRUCK,1082.0,1
64-12312,VOLVO A45 DUMP TRUCK,2966.0,1
64-12572,VOLVO A45 DUMP TRUCK,204.4,1
64-12608,2020 VOLVO A45G,2786.0,2
64-12617,2020 VOLVO A45G,2455.0,1
64-12619,2020 VOLVO A45G,5573,2
64-12626,VOLVO A45 DUMP TRUCK,713,4
64-12631,VOLVO A45,730,5
64-12632,VOLVO A45,1099,2
64-12634,VOLVO A45,631,3
64-12635,VOLVO A45,1484.0,1
64-12636,VOLVO A45,1891.0,3
64-12637,VOLVO A45 DUMP TRUCK,1067.0,7
64-12639,VOLVO A45 DUMP TRUCK,419,2
64-12640,VOLVO A45 DUMP TRUCK,1335.0,1
64-12641,VOLVO A45 DUMP TRUCK,1956.0,2
64-12642,VOLVO A45,2207.0,1
64-12643,VOLVO A45 DUMP TRUCK,517,1
64-12869,JOHN DEERE 460 DUMP TRUCK,327,1
64-12873,JOHN DEERE 460 DUMP TRUCK,237,1
64-12999,VOLVO A45,3,1
64-13000,VOLVO A45,3,2
64-13001,VOLVO A45,2,2
64-13002,VOLVO A45,2,2
64-13005,VOLVO A45,7,1
64-13040,VOLVO A45 DUMP TRUCK,114,1
64-13051,2009 CATERPILLAR CP56 ROLLER-CAB,3772.3,1
64-13202,2024 VOLVO A45G W/G,7923,5
64-13203,VOLVO A40,3329.0,1
64-13205,VOLVO A40,3387.0,1
64-13206,VOLVO A40 DUMP TRUCK,1565.0,1
64-13208,VOLVO A45,747.0,1
64-13209,VOLVO A40,696.0,1
64-13232,2021 VOLVO A45G W/G,919.0,5
64-13233,2021 VOLVO A45G W/G,852.0,6
64-13305,VOLVO A45 DUMP TRUCK,1198.0,1
64-13320,VOLVO A40,N/A,1
64-13331,CAT 740 DUMP TRUCK,7099.9,1
64-13332,CAT 740B DUMP TRUCK,8479.2,1
64-13426,VOLVO A30G,134.0,3
64-13427,VOLVO A30 DUMP TRUCK,57.0,2
64-13453,2022 VOLVO A45G W/G,2080,2
64-13454,2022 VOLVO A45G W/G,862,1
64-13455,2022 VOLVO A45G W/G,2916,6
64-13456,2022 VOLVO A45G W/G,846,3
64-13457,2022 VOLVO A45G W/G,16847.1,3
64-13460,2022 VOLVO A45G W/G,2390,8
64-13462,2022 VOLVO A45G W/G,983,2
64-13463,2022 VOLVO A45G W/G,N/A,2
64-13464,2022 VOLVO A45G W/G,1033,2
64-13466,VOLVO A45G,2.0,1
64-13467,2022 VOLVO A45G W/G,2368,5
64-13468,VOLOV A45G,2.0,2
64-13469,2022 VOLVO A45G W/G,2472,2
64-13470,2022 VOLVO A45G W/G,2420,5
64-13471,2022 VOLVO A45G,1859,7
64-13472,2022 VOLVO A45G,1.0,4
64-13473,2022 VOLVO A45G W/G,1266.0,4
64-13474,2022 VOLVO A45G W/G,1191.0,6
64-13475,2022 VOLVO A45G W/G,1166,7
64-13510,2022 VOLVO A45G,2.0,1
64-13511,2022 VOLVO A45G W/G,2.0,5
64-13513,2022 VOLVO A45G W/G,1093.0,1
64-13514,2022 VOLVO A45G W/G,45.0,7
64-13867,2017 VOLVO A40G,7064.0,4
64-13868,2019 VOLVO A45G,7841,2
64-13869,2019 VOLVO A40G,5809.0,1
64-13870,2019 VOLVO A40G,5206.0,1
64-13908,2022 VOLVO A45G,2776.0,1
64-13975,2017 VOLVO A40G,5006.0,1
64-13997,2017 CATERPILLAR 745C,4740.6,4
64-14008,VOLVO A45 TRUCK,1924,1
64-14017,2023 VOLVO A45G,1563,1
64-14018,2023 VOLVO A45G,1590,1
64-14021,2023 VOLVO A45G,1628,3
64-14022,2023 VOLVO A45G,1382,4
64-14023,VOLVO A45G,2,2
64-14024,2023 VOLVO A45G,1010,2
64-14025,2023 VOLVO A45G,639.0,6
64-14026,2023 VOLVO A45G,1619.0,5
64-14028,2023 VOLVO A45G,4,4
64-14030,2023 VOLVO A45G,1786,6
64-14034,2023 VOLVO A45G,1897,4
64-14035,VOLVO A45G,4,1
64-14036,2023 VOLVO A45G,1433,2
64-14037,VOLVO A45G,2,1
64-14038,VOLVO A45G,1319,3
64-14039,2023 VOLVO A45G,1786,5
64-14115,2021 JOHN DEERE 460E-II,1303.7,3
64-14131,2021 JOHN DEERE 460E-II,1198.0,3
64-14326,CATERPILLAR 725C2,2060,1
64-14794,VOLVO A45,7,1
64-14795,2022 CATERPILLAR D6XE LGP 3D (20B),842,4
64-14796,2024 VOLVO A45G W/G,1481.0,5
64-14797,VOLVO A45,4,1
64-14798,2024 VOLVO A45G W/G,1535,4
64-14799,VOLVO A45,5,2
64-14800,VOLVO A45,8,2
64-14801,2024 VOLVO A45G,714,3
64-14802,2024 VOLVO A45G,624,5
64-14803,2024 VOLVO A45G W/G,4.0,5
64-14804,2024 VOLVO A45G,724,2
64-14805,2024 VOLVO A45G W/G,4,3
64-14806,2024 VOLVO A45G W/G,519,4
64-14814,2024 VOLVO A45G W/G,1058,3
64-14815,2024 VOLVO A45G W/G,378,2
64-14817,2024 VOLVO A45G,907,3
64-15442,VOLVO A45,525,4
64-15443,2025 VOLVO A45G,268,1
64-15444,VOLVO A45,4,1
64-15445,VOLVO A45,4,1
64-15446,VOLVO A45,1089,3
64-15447,VOLVO A45,3,1
64-15450,2025 VOLVO A45G,41,1
64-15452,VOLVO A45 TRUCK,1263,2
64-15472,VOLVO A45,700,2
64-15473,VOLVO A45,3,1
64-15670,VOLVO A45,4,1
64-16037,2023 VOLVO A25G,N/A,1
64-16180,VOLVO A45J TRUCK,2,1
64-16184,VOLVO A45J TRUCK,1 hour,1
64-16186,VOLVO A45J TRUCK,2,1
64-16194,VOLVO A45J,4,1
64-16200,VOLVO A45J,1,1
64-16238,VOLVO A45,2207.0,1
64-16376,KOMATSU HM460,11,1
64-18404,VOLVO A45G,355,1
64-4594,1982 DORSEY PARTS TRAILER,N/A,1
64178,JOHN DEERE 624 BUCKET,64178,1
65844,BUCKET,N/A,2
66-10160,2012 RYAN FABRICATED LUBE,N/A,1
66-10764,20' CONTAINER,N/A,11
66-10765,20' CONTAINER,204.4,3
66-10766,20' CONTAINER,N/A,14
66-10767,20' CONTAINER,N/A,14
66-10856,20' CONTAINER,N/A,19
66-10857,20' CONTAINER,N/A,18
66-10858,20' CONTAINER,N/A,9
66-10865,KUBOTA,N/A,1
66-11322,RYAN 20' CONTAINER,N/A,15
66-11323,20' CONTAINER,N/A,26
66-11324,RYAN 20' CONTAINER,N/A,9
66-11325,20' CONTAINER,N/A,9
66-11585,2013 B-B 22' TILT 14K#,N/A,1
66-11595,2017 B-B 22' TILT 14K#,N/A,1
66-11684,PACE TRAILER,N/A,1
66-11814,20' CONTAINER,N/A,1
66-12125,RYAN 20' CONTAINER,N/A,4
66-12207,PITNEY CONTAINER 40' HIGH CUBE,N/A,1
66-12231,2019 UNITED TRAILERS UXT-716TA52-8.2,N/A,2
66-12257,2016 ET & T ENTERPRISE 40 - OFFICE/STORAGE,N/A,4
66-12938,2021 UNITED TRAILERS,N/A,1
66-13088,CONTAINER,N/A,1
66-13119,MOBILE MINI 40' OFFICE/STORAGE,N/A,11
66-13220,"2014 B-B 20"" TILT 16K#",N/A,1
66-13229,2021 PAC-VAN 40-OFFICE/STORAGE,N/A,5
66-13230,40' CONTAINER,N/A,8
66-14144,20' CONTAINER,N/A,6
66-14145,20' CONTAINER,N/A,3
66-14146,20' CONTAINER,N/A,9
66-14380,2023 HAULMARK GRHD716T3,N/A,2
66-14384,2023 HAULMARK GRHD716T3,N/A,1
66-14396,"2023 B-B TBLT TILD 83""X18'",N/A,1
66-14429,2015 MEGA CONTAINER 40 OFFICE STORAGE,N/A,2
66-14430,2019 TAICANG CI 40 OFFICE STORAGE,N/A,6
66-14536,2022 UNKOWN 20' SIDE STOR CNTNR,N/A,2
66-14542,2022 UNKNOWN 20' CONTAINER,N/A,6
66-14545,2022 UNKOWN 20' CONTAINER,N/A,1
66-14789,2021 DFJZ 20' STORAGE CONTAINER,N/A,1
66-15090,CONTAINER 40' OFFICE/STORAGE,N/A,4
66-15091,2016 UNITED RENTALS 8X40 OFFICE/STORAGE,N/A,1
66-15092,40; CONTAINER,N/A,1
66-15177,CARU WEST 20' OFFICE STORAGE,N/A,1
66-15253,2024 SURETRAC 7'x20' LANDSCAPE,N/A,1
66-15512,RYAN INC CENTRAL 20' STORAGE CNTR,N/A,8
66-15513,RYAN INC. CENTRAL 20' STORAGE CENTER,N/A,2
66-15514,20' CONTAINER,N/A,5
66-15515,RYAN INC CENTRAL 20' STORAGE CENTER,N/A,6
66-15516,20' CONTAINER,N/A,2
66-15517,Ryan Inc. Central/20' Storage Cntn,N/A,1
66-15518,RYAN INC CENTRAL 20' STORAGE CNTNR,N/A,1
66-15520,20' CONTAINER,N/A,1
66-15521,RYAN INC CENTRAL 20' STORAGE CNTNR,N/A,1
66-15522,RYAN INC CENTRAL 20' STORAGE CNTNR,N/A,2
66-15523,20' CONEX,N/A,1
66-15524,RYAN INC CENTRAL 20' STORAGE CNTNR,N/A,2
66-15525,20' CONTAINER,N/A,3
66-2809,1991 PACE AMERICAN SINGLE AXLE DEF ONLY,N/A,6
66-2826,TRAILER,N/A,2
66-3837,JOB TRAILER,N/A,2
66-3904,1998 PACE AMERICAN NW716TA2 FUEL/DEF,N/A,4
66-4594,1982 DORSEY PARTS TRAILER,N/A,2
66-4631,CONTAINER,N/A,3
66-4919,BUCKET,N/A,1
66-5193,2002 PACE AMERICAN CS716TA2 DEF,N/A,5
66-5410,"2003 PACE AM,ERICAN CS716TA2",N/A,4
66-5648,DEF TRAILER,N/A,5
66-5930,2004 PACE AMERICAN CS716TA2 DEF,N/A,4
66-5933,PACE TRAILER,N/A,1
66-5937,2004 PACE AMERICAN CS716TA DEF,N/A,1
66-6603,DEF TRAILER,N/A,3
66-6605,2006 PACE AMERICA CS716TA2 DEF,N/A,1
66-6613,FERRARINI DEF TRAILER,N/A,2
66-6628,PACE TRAILER,N/A,1
66-7497,RYAN 20' CONTAINER,N/A,14
66-7500,RYAN 20' CONTAINER,N/A,18
66-7502,DROP BOX UNIT,N/A,2
66-7503,20' CONTAINER,N/A,2
66-7598,POCHOCKI TRAILER,N/A,1
66-7690,RYAN 20' CONTAINER,N/A,9
66-7691,20' CONTAINER,N/A,7
66-7995,PACE TRAILER,N/A,1
66410,GRADER ATTACHMENT,N/A,1
67788,KOMATSU PC 135,18.6,1
68300109,CATERPILLAR CP7 ROLLER,19.3,3
69351,FRKS,N/A,1
69586,JD SKIDSTEER,241,2
6B-73407,BUCKET,N/A,1
6J-73761,JOHN DEERE ATTACHMENT,N/A,1
6J500220,CATERPILLAR 85E CHALLENGER,902.0,1
6J80554,JOHN DEERE 624P FORKS,N/A,1
6J80692,JOHN DEERE 624P BUCKET,N/A,1
6J80735,JOHN DEERE 624 LOADER,439.6,1
6T-73542,JOHN DEERE,78.4,1
6T23572,2022 JOHN DEERE 75G BUCKET,N/A,3
6T73647,BUCKET,N/A,2
6T90076,BUCKET,N/A,2
6TK0742 RENT,JOHN DEERE 85 MINI,221.3,2
6TZ2097,BUCKET (RENTAL),N/A,1
7-14470,"2023 JOHN DEERE 48"" 8800# ADJ FORKS",N/A,1
70-0647,CAT D6 DOZER,465.6,1
70-0808,CAT D6 DOZER,3287.0,2
70-2467,CAT 308 MINI,N/A,1
70-8390,JOHN DEERE 624 LOADER (RENTAL),148.2,3
70-8437,JOHN DEERE 624 LOADER (RENTAL),112.5,2
70-8724,JOHN DEERE 624 LOADER,148.4,1
7000025,FORKS **NO RYAN NUMBER**,N/A,1
700808,CAT D6 DOZER,3521.5,1
70116,BUCKET,N/A,1
707702,VERSATILE 570DT,1806.0,1
71193,JD 650 DOZER,176,3
7150477,WHISPERWATT DIESEL POWERED AC GENERATOR,980.2,1
7191-1-1.,ATTACHMENT,N/A,2
72-12004,2014 SANDVIK QE341,5775,1
72-16113,2024 KLEEMAN MSC953i,181.24,1
72024,KOMATSU D71PX-24,9.4,1
7234,WATER PUMP,N/A,1
75-2371,VOLVO A30,2.0,1
75-2373,VOLVO A30,3.0,1
750009,VOLVO A45,338,1
7687,BELL B25 DUMP TRUCK,1878.7,1
7B80752,BUCKET,N/A,1
7P80527,"24"" BUCKET",N/A,1
8-11236,ATTACHMENT,N/A,1
800-22-5813,WATER TRUCK,640,1
81-0951,JOHN DEERE 350,3036.0,3
81-11046,GENERATOR,N/A,1
81-11253,GENERATOR,5834.8,6
81-11254,GENERATOR,N/A,3
81-1156,JOHN DEERE TRACTOR,5,2
81-12001,2018 WACKER NEUSON/G25,N/A,2
81-12003,2018 WACKER NEUSON G25,N/A,1
81-12127,2008 INGERSOLL RAND LIGHT SOURCE,N/A,2
81-12202,GENERATOR,2423.6,3
81-12204,2019 WACKER NEUSON/G25,N/A,1
81-12214,HEATER,4812,1
81-12891,2018 MAGNUM LIGHT PLANT,N/A,2
81-13250,GENERATOR,N/A,1
81-13405,MAGNUM MLT3060M,1545.2,2
81-13775,2017 MAGNUM MLT3060K,1239.0,2
81-13845,WACKER NEUSON G25 MOBILE GENERATOR,0.06,1
81-13846,WACKER NEUSON G25 MOBILE GENERATOR,0.06,1
81-13847,2022 WACKER NEUSON G25 STD,N/A,3
81-13848,WACKER NEUSON G25 MOBILE GENERATOR,0.02,1
81-13849,WACKER NEUSON G25 MOBILE GENERATOR,307.0,2
81-13850,WACKER NEUSON G25 MOBILE GENERATOR,0.02,1
81-13862,2022 HONDA EU7000IS,N/A,1
81-14167,SMALL GENERATOR,N/A,1
81-14910,2017 MAGNUM MLT6SM,5742.0,1
81-15511,"20' CONEX, KUBOTA, GENERATOR",383.6,1
81-1617,JOHN DEERE 9570,324.0,1
81-1645,ATTACHMENT,N/A,1
81-3912,CAT D8P,2331.8,1
81-4256,JOHN DEERE 350 EX,228.0,2
81-5762,GENERATOR,23853.7,1
81-6239,MULTI-QUIP 25 KW GENERATOR,N/A,2
81-6642,2005 MULTI-QUIP 25 KWGENERATOR,3209.1,4
81-6847,2006 MULTI-QUIP 25 KW GENERATOR,N/A,1
81-6924,GENERATOR,N/A,1
81488,BOMAG ROLLER RENTAL,267.7,2
815 ARM-NO #,815 ARM,N/A,1
815 BLADE-NO #,815 BLADE,N/A,1
815779-01,BUCKET,N/A,1
816642,GENERATOR,N/A,1
